four,럞ힹ䳐퉸ᇬ떜ࡃ퍗䲾䀷,0.758241039398507,1385909173,붘쀹幗恅陔鹞Ĵ縙ͨ薱,䝏敄鄓䚌䵲⑧測ᷯᖐ귃
two,唷农麩笣骷籲ἒ鏖铡횾,0.7645045607926793,-1685730505,ᓁẮ㉷뀨톡ꯚ暱툞釼誰,癵ᆊퟤ즋眉漫槭゠ᴔⷢ
two,⑳桽㓖䒟阶萵㾎쯬쭻♲,0.2412218297324482,1792572338,烰噊ᣌ໗ᆢᙻ螵䠶哚啚,翙゜祿凡䞇垆螶謝烄逸
four,惷癵桘鄲吸뎊쀿殕湭ꎐ,0.5509533021608036,1282324051,섶⟶뗕꣔欖ꐄꈣ꿰㢡佅,芃ᆮ큄ꞵ멨뻺늖䡄ꂛ糏
three,롭䍛ྑ㔲ꆯ敪䣅㰣鿇㦮,0.003789450993754606,1631087642,푸兞⮆橪ƕ鹓斨箢栽䞒,ḓㄐ狠挡疶瀫埝謈䑴㹣
two,橫䆄岵ῗ췓᳆ءꯩ뻔蛍,0.9746757592739692,1829469243,舑⌑쌻䙏䡆䔈伧喀证독,幊髴ⵏ⩪䚙砡邅䆩㟃馬
four,폍䇰防뭠瓩図㧂尭穖柹,0.5768553532938863,622449348,麟症꽛꛶궯쬎⽗漪ᝨ晎,点ᠦ槞摚찹搈།၆ꗏ䚸
four,䛛혨픮㰀簴떨磷疝䖒艻,0.634373467585488,-1943894002,漲敹Ա郁䐟䐗푎㪽뱭鹔,㍺忺줡ᴏһ퟿㴷楿兹뽠
three,邶棵鸪툐蛡綢嬉짍⊚㻰,0.6822370502369823,1662256329,⢉硇㩎㗙菪셽ㅱ鲪揸瓭,♖ⶂԄሁ娘괆⪫佄忛Ȉ
two,諑䮭첞賙받╗졛䂔߼滉,0.9089566364668048,-129520739,㉇㦛퉇砦窸個㸝莦瘷옋,㎫蘖ࡁ暯ህዸ䛘ضᖻ㳀
three,彋鬒ꮳ馘駛刣좉⤾⨍穬,0.3418491727460501,1526335673,㵷倜鬣뮆큐ꏗᮖ㍀㦥ꉞ,ʰ㞸弍⢚༥瓨澸膗ꓑ曬
four,삲镫Ӹ㜌鲠ሺ待쟣଍屚,0.9228188285102161,1481300166,৲狗ꉽ꫌쨘㲞儽䉀淜侇,礕૦鍐扯ങ඙갟᫴䬎ᣅ
one,娈⛾礢ࠜ掯浬䬻鸹⨅䃟,0.19426158583572128,-806310894,抳䇋欜莆䣆㎶鱏쉸铯焴,㜶㴥恣⬥⟼䣤ꬨ鰏倆硹
